Date,test-rig,test-tag,dut-hw-version,dut-sw-version,dut-model-num,dut-serial-num,test-priority,test-id,short-description,pass/fail,numeric-score,test details,Units,Graph-Group,Subtest-Pass,Subtest-Fail
1.65859E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.1.1 Receiver Sensitivity Test,FAIL,96.11992945,2.4Ghz passed 16 / 16 Pass-Avg: 6.6 2.4Ghz Failed-by-steps: 0.0 Passed-by-steps: 105.0 5Ghz passed 15 / 16 Fail-Avg: 21.0 Pass-Avg: 27.3 5Ghz Failed-by-steps: 21.0 Passed-by-steps: 409.0 ,Score,Score,31,1
1.6586E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.2.1 Maximum Connection Test (32-STA),FAIL,96.7402832,Throughput: 2.4Ghz UL 93.89% DL 104.99%  Throughput: 5Ghz UL 105.98% DL 97.20%  Passed PER: 119 / 128,Score,Score,119,9
1.6586E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.2.2 Maximum TCP Throughput Test,FAIL,103.9647751,Throughput 2.4Ghz UL 90.95% DL 139.68%  Throughput 5Ghz UL 90.68% DL 94.55%  ,Score,Score,1,3
1.6586E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.2.3 Airtime Fairness Test,FAIL,57.14285714,5Ghz passed 5 / 7 2.4Ghz passed 3 / 7 <i>Candela is not convinced these pass/fail metrics are very helpful.</i>,Score,Score,8,6
1.6586E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.3.1 Range Versus Rate Test,FAIL,71.71945701,5Ghz UL 11 / 13 DL 11 / 13  2.4Ghz UL 6 / 17 DL 14 / 17 ,Score,Score,42,18
1.65861E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.3.2 Spatial Consistency Test,FAIL,87.5,5Ghz passed 10 / 12 2.4Ghz passed 11 / 12 ,Score,Score,21,3
1.65861E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.4.1 Multiple STAs Performance Test,PASS,100,2.4Ghz Passed 6 / 6 5Ghz Passed 6 / 6 ,Score,Score,12,0
1.65861E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.4.2 Multiple Association /<br>Disassociation Stability Test,FAIL,94.01041667,2.4Ghz Passed 931 / 960 5Ghz Passed 874 / 960 ,Score,Score,1805,115
1.65861E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.4.3 Downlink MU-MIMO Performance Test,FAIL,90.05702001,Passed: 1 / 3  Single Throughput Sum: 1,,,,
1.65861E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.5.2 AP Coexistence Test,FAIL,123.7421816,Passed 7 / 8,Score,Score,7,1
1.65864E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.5.1 Long Term Stability Test,FAIL,95.63106796,2.4Ghz Throughput Avg 131.37 Mbps Passed: 97 / 100  2.4Ghz Packet Error Rate Passed: 0 / 3  5Ghz Throughput Avg 538.36 Mbps Passed: 97 / 100  5Ghz Packet Error Rate Passed: 3 / 3  ,Score,Score,197,9
