Date,test-rig,test-tag,dut-hw-version,dut-sw-version,dut-model-num,dut-serial-num,test-priority,test-id,short-description,pass/fail,numeric-score,test details,Units,Graph-Group,Subtest-Pass,Subtest-Fail
1.65945E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.1.1 Receiver Sensitivity Test,FAIL,95.57069847,2.4Ghz passed 15 / 16 Fail-Avg: 3.0 Pass-Avg: 7.8 2.4Ghz Failed-by-steps: 3.0 Passed-by-steps: 117.0 5Ghz passed 15 / 16 Fail-Avg: 21.0 Pass-Avg: 27.6 5Ghz Failed-by-steps: 21.0 Passed-by-steps: 414.0 ,Score,Score,30,2
1.65945E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.2.1 Maximum Connection Test (32-STA),FAIL,88.95708767,Throughput: 2.4Ghz UL 106.02% DL 105.94%  Throughput: 5Ghz UL 105.79% DL 97.03%  Passed PER: 95 / 128,Score,Score,95,33
1.65945E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.2.2 Maximum TCP Throughput Test,FAIL,110.4827192,Throughput 2.4Ghz UL 96.26% DL 140.71%  Throughput 5Ghz UL 100.25% DL 104.72%  ,Score,Score,3,1
1.65945E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.2.3 Airtime Fairness Test,FAIL,50,5Ghz passed 4 / 7 2.4Ghz passed 3 / 7 <i>Candela is not convinced these pass/fail metrics are very helpful.</i>,Score,Score,7,7
1.65946E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.3.1 Range Versus Rate Test,FAIL,89.70588235,5Ghz UL 13 / 13 DL 13 / 13  2.4Ghz UL 10 / 17 DL 17 / 17 ,Score,Score,53,7
1.65947E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.3.2 Spatial Consistency Test,FAIL,75,5Ghz passed 11 / 12 2.4Ghz passed 7 / 12 ,Score,Score,18,6
1.65947E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.4.1 Multiple STAs Performance Test,PASS,100,2.4Ghz Passed 6 / 6 5Ghz Passed 6 / 6 ,Score,Score,12,0
1.65947E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.4.2 Multiple Association /<br>Disassociation Stability Test,FAIL,94.79166667,2.4Ghz Passed 895 / 960 5Ghz Passed 925 / 960 ,Score,Score,1820,100
1.65947E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.4.3 Downlink MU-MIMO Performance Test,FAIL,86.36528522,Passed: 2 / 3  Single Throughput Sum: 1,,,,
1.65947E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.5.2 AP Coexistence Test,FAIL,109.8885256,Passed 6 / 8,Score,Score,6,2
1.65949E+12,,,V1.0,FT5.01.032d,ac:4a:fe:fd:44:60 ,FPTH22500006,100,TR_398,6.5.1 Long Term Stability Test,FAIL,93.68932039,2.4Ghz Throughput Avg 132.75 Mbps Passed: 100 / 100  2.4Ghz Packet Error Rate Passed: 1 / 3  5Ghz Throughput Avg 558.27 Mbps Passed: 90 / 100  5Ghz Packet Error Rate Passed: 2 / 3  ,Score,Score,193,13
