Date,test-rig,test-tag,dut-hw-version,dut-sw-version,dut-model-num,dut-serial-num,test-priority,test-id,short-description,pass/fail,numeric-score,test details,Units,Graph-Group,Subtest-Pass,Subtest-Fail
1.66084E+12,,,,VT1.0.20P1T22 ,,ZTEGC88E2C30,100,TR_398,6.1.1 Receiver Sensitivity Test,FAIL,24.93023256,2.4Ghz passed 0 / 16 Fail-Avg: 47.0 2.4Ghz Failed-by-steps: 752.0 Passed-by-steps: 0.0 5Ghz passed 12 / 16 Fail-Avg: 8.8 Pass-Avg: 21.3 5Ghz Failed-by-steps: 35.0 Passed-by-steps: 256.0 ,Score,Score,12,20
1.66084E+12,,,,VT1.0.20P1T22 ,,ZTEGC88E2C30,100,TR_398,6.2.1 Maximum Connection Test (32-STA),FAIL,70.16036843,Throughput: 2.4Ghz UL 98.85% DL 101.32%  Throughput: 5Ghz UL 100.71% DL 44.78%  Passed PER: 69 / 128,Score,Score,69,59
1.66084E+12,,,,VT1.0.20P1T22 ,,ZTEGC88E2C30,100,TR_398,6.2.2 Maximum TCP Throughput Test,FAIL,66.88530979,Throughput 2.4Ghz UL 25.02% DL 50.72%  Throughput 5Ghz UL 85.26% DL 106.54%  ,Score,Score,1,3
1.66084E+12,,,,VT1.0.20P1T22 ,,ZTEGC88E2C30,100,TR_398,6.2.3 Airtime Fairness Test,FAIL,42.85714286,5Ghz passed 6 / 7 2.4Ghz passed 0 / 7 <i>Candela is not convinced these pass/fail metrics are very helpful.</i>,Score,Score,6,8
1.66084E+12,,,,VT1.0.20P1T22 ,,ZTEGC88E2C30,100,TR_398,6.3.1 Range Versus Rate Test,FAIL,47.62443439,5Ghz UL 11 / 13 DL 13 / 13  2.4Ghz UL 1 / 17 DL 0 / 17 ,Score,Score,25,35
1.66085E+12,,,,VT1.0.20P1T22 ,,ZTEGC88E2C30,100,TR_398,6.3.2 Spatial Consistency Test,FAIL,37.5,5Ghz passed 9 / 12 2.4Ghz passed 0 / 12 ,Score,Score,9,15
1.66085E+12,,,,VT1.0.20P1T22 ,,ZTEGC88E2C30,100,TR_398,6.4.1 Multiple STAs Performance Test,FAIL,16.66666667,2.4Ghz Passed 0 / 6 5Ghz Passed 2 / 6 ,Score,Score,2,10
1.66085E+12,,,,VT1.0.20P1T22 ,,ZTEGC88E2C30,100,TR_398,6.4.2 Multiple Association /<br>Disassociation Stability Test,FAIL,92.91666667,2.4Ghz Passed 864 / 960 5Ghz Passed 920 / 960 ,Score,Score,1784,136
1.66085E+12,,,,VT1.0.20P1T22 ,,ZTEGC88E2C30,100,TR_398,6.4.3 Downlink MU-MIMO Performance Test,FAIL,77.16470434,Passed: 1 / 3  Single Throughput Sum: 1,,,,
1.66085E+12,,,,VT1.0.20P1T22 ,,ZTEGC88E2C30,100,TR_398,6.5.2 AP Coexistence Test,FAIL,112.2098709,Passed 6 / 8,Score,Score,6,2
1.66088E+12,,,,VT1.0.20P1T22 ,,ZTEGC88E2C30,100,TR_398,6.5.1 Long Term Stability Test,FAIL,82.03883495,2.4Ghz Throughput Avg 43.70 Mbps Passed: 69 / 100  2.4Ghz Packet Error Rate Passed: 0 / 3  5Ghz Throughput Avg 443.50 Mbps Passed: 97 / 100  5Ghz Packet Error Rate Passed: 3 / 3  ,Score,Score,169,37
